gw,player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,fmmp,winning_goals,won_tackle,accurate_pass,clearances_blocks_interceptions,shot_target,big_chance_created,big_chance_missed,performance_index,total_points,played,in_dreamteam
1,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,240,90,3,0,0,2,0,0,0,0,0,0,3,1,0,0,6,0,5,0,2,100,21,True,True
1,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,244,90,0,0,0,2,0,0,0,1,0,0,2,0,0,1,78,7,0,0,0,89,5,True,False
1,245,63,0,0,0,2,0,0,0,0,0,0,0,0,0,0,32,3,1,0,0,47,1,True,False
1,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,247,90,0,0,0,2,0,0,0,0,0,2,0,0,0,0,9,9,0,0,0,38,2,True,False
1,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,249,78,0,0,0,2,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,47,1,True,False
1,250,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,2,1,2,0,77,2,True,False
1,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
